po_number,deal_id_x,order_created,total_deal_quantity,amount_in_company_currency,client_type_x,deal_type_x,special_order_type,deal_stage,automation_tools,revisions,deal_source_ca,number_of_associated_contacts,design_difficulty,SKU,chassis,total_intl_product_quantity,mfp_product_info,vendor_id,est_ship_date,submitted_to_prod,client_type_y,deal_type_y,deal_id_y,Total SKU DZ on PO,intl_unit_cost,fixed_intl_pkg_cost,total_intl_unit_cost_dont_use,total_intl_sku_cost,cost_per_sku,total_sku_cost
23666,7411371306,1/4/2022,120,0,Distributor,Existing Business,,Closed and Won,Reorder Button,,,1,,10.0231138v1,10,0,2,1,,1/4/2022,,,,10,,,0,0,2.23,0
23667,7266931795,12/16/2021,8450,0,Distributor,New Business,,Closed and Won,,,,1,Not Rated,10.0269791v2,10,0,2,3,,1/11/2022,,,,705,,,0,0,1.62,0
23670,7413142021,1/4/2022,300,0,Distributor,Existing Business,,Closed and Won,,,Client Referral,3,,10.0247304v1,10,0,2,3,,1/4/2022,,,,26,,,0,0,2.41,0
23671,6708522764,10/20/2021,60,0,Direct,Existing Business,,Closed and Won,,,,1,,10.0258409v1,10,0,2,1,,1/4/2022,,,,5,,,0,0,2.56,0
23673,7413916944,1/4/2022,1200,0,Distributor,Existing Business,,Closed and Won,Reorder Button,,Client Referral,3,,10.0220391v2,10,0,2,1,,1/4/2022,,,,100,,,0,0,1.71,0
23674,7413810268,1/4/2022,120,0,Distributor,Existing Business,,Closed and Won,Reorder Button,,Pre-Hubspot Contact,4,,10.0247327v1,10,0,2,4,,1/14/2022,,,,10,,,0,0,2.58,0
23675,7413801739,1/4/2022,60,0,Distributor,Existing Business,,Closed and Won,Reorder Button,,,3,,10.0218569v2,10,0,2,1,,1/4/2022,,,,5,,,0,0,2.56,0
23676,7310237345,12/21/2021,75,0,Distributor,Existing Business,,Closed and Won,,,Client Referral,2,Not Rated,10.0269435v1,10,0,2,1,,1/4/2022,,,,7,,,0,0,2.56,0
23677,7212939158,12/10/2021,63,0,Distributor,Existing Business,,Closed and Won,,,Pre-Hubspot Contact,4,Not Rated,10.0268460v1,10,0,2,1,,1/5/2022,,,,6,,,0,0,2.56,0
23678,7001057910,11/24/2021,500,0,Distributor,New Business,,Closed and Won,,,,2,Low ,40.0268737v1,40,0,18,1,,1/5/2022,,,,42,,,0,0,1.96,0
23679,6222625072,9/15/2021,60,0,Direct,New Business,,Closed and Won,Intake 2.0 Jacob,,,2,Medium ,17.0250994v3,17,0,9,1,,1/18/2022,,,,5,,,0,0,2.56,0
23680,7414563651,1/4/2022,60,0,Distributor,Existing Business,,Closed and Won,Reorder Button,,Pre-Hubspot Contact,3,,10.0262795v1,10,0,2,3,,1/5/2022,,,,5,,,0,0,3.66,0
23681,7249409043,12/14/2021,1002,0,Distributor,Existing Business,,Closed and Won,New Project In Portal,,Pre-Hubspot Contact,2,High Res Preview,10.0268679v2,10,0,2,3,,1/5/2022,,,,84,,,0,0,1.91,0
23682,7415368994,1/4/2022,120,0,Direct,Existing Business,,Closed and Won,Reorder Button,,,2,,10.0258092v3,10,0,2,1,,1/4/2022,,,,10,,,0,0,2.23,0
23683,7374217225,12/30/2021,60,0,Distributor,Existing Business,,Closed and Won,,,Pre-Hubspot Contact,2,Not Rated,10.0270012v1,10,0,2,3,,1/5/2022,,,,5,,,0,0,3.66,0
23684,7364556082,12/29/2021,120,0,Distributor,Existing Business,,Closed and Won,,,,4,High Res Preview,10.0269935v1,10,0,2,3,,1/6/2022,,,,10,,,0,0,2.58,0
23687,7264080394,12/16/2021,150,0,Direct,Existing Business,,Closed and Won,,,Email Marketing,3,Not Rated,10.0235627v2,10,0,2,4,,1/5/2022,,,,13,,,0,0,2.41,0
23688,7402035260,1/3/2022,60,0,Distributor,Existing Business,,Closed and Won,,,Client Referral,2,Low ,40.0270081v2,40,0,18,1,,1/5/2022,,,,5,,,0,0,2.56,0
