deal_id_x,po_number,order_created,total_deal_quantity,amount_in_company_currency,client_type_x,deal_type_x,special_order_type,deal_stage,automation_tools,revisions,deal_source_ca,number_of_associated_contacts,design_difficulty,SKU,chassis,total_intl_product_quantity,mfp_product_info,vendor_id,est_ship_date,submitted_to_prod,client_type_y,deal_type_y,deal_id_y,Total SKU DZ on PO,intl_unit_cost,fixed_intl_pkg_cost,total_intl_unit_cost_dont_use,COGS int SKU Cost exact,total_product_quantity,cost_per_sku,total_sku_cost
16699382162,42840,12/27/2023,150,2104.6,Direct,Existing Business,,Closed and Won,Intake 4.0 Logged In,,Direct Traffic,1,,10.02208681v1,10,,2,3,,12/28/2023,,,,13,,,,,150,2.54,426.72
16701641535,42848,12/27/2023,120,1062,Distributor,Existing Business,,Closed and Won,Reorder Button,,Direct Traffic,1,,55.02182424v1,55,,114,4,,12/28/2023,,,,10,,,,,120,3,396
16701576341,42850,12/27/2023,150,1062.5,Distributor,New Business,,Closed and Won,,,Direct Traffic,2,,10.02200609v1,10,,2,4,,12/28/2023,,,,13,,,,,150,2.54,426.72
16704590373,42858,12/27/2023,250,2015,Distributor,Existing Business,,Payment Pending,Reorder Button,,Client Referral,4,,10.02155432v1,10,,2,1,,12/28/2023,,,,21,,,,,250,1.96,517.44
16705101676,42866,12/27/2023,120,1110,Distributor,Existing Business,,Closed and Won,Reorder Button,,Email Marketing,1,,10.02176342v3,10,,2,4,,12/28/2023,,,,10,,,,,120,2.83,373.56
16706249864,42873,12/27/2023,240,2654.4,Direct,Existing Business,,Closed and Won,Reorder Button,,Email Marketing,3,,932156806v1,93,120,120,10,45314,12/28/2023,Direct,existingbusiness,16706249864,10,1.8,0,237.6,216,,,
16706249864,42873,12/27/2023,240,2654.4,Direct,Existing Business,,Closed and Won,Reorder Button,,Email Marketing,3,,932156808v1,93,120,120,10,45314,12/28/2023,Direct,existingbusiness,16706249864,10,1.8,0,237.6,216,,,
16704205890,42874,12/27/2023,30,647.7,Direct,Existing Business,,Closed and Won,Reorder Button,,Direct Traffic,1,,10.02203351v3,10,,2,4,,12/28/2023,,,,3,,,,,30,3.25,156
16398623584,42884,12/7/2023,120,1520.4,Direct,New Business,,Closed and Won,Intake 4.0 Logged In,,Direct Traffic,1,Low ,10.02206488v2,10,,2,4,,12/28/2023,,,,10,,,,,120,2.83,373.56
16488596568,42889,12/13/2023,500,6120.48,Direct,Existing Business,,Payment Pending,,,,1,Low ,10.02207507v6,10,,2,3,,12/28/2023,,,,21,,,,,250,2.43,641.52
16488596568,42889,12/13/2023,500,6120.48,Direct,Existing Business,,Payment Pending,,,,1,Low ,55.02207424v2,55,,114,3,,12/28/2023,,,,21,,,,,250,2.56,675.84
16714853475,42890,12/28/2023,300,2493,Distributor,Existing Business,,Closed and Won,Reorder Button,,Client Referral,5,,10.02176086v1,10,,2,1,,12/28/2023,,,,25,,,,,300,1.96,611.52
16714733366,42891,12/28/2023,3400,19482,Distributor,Existing Business,,Payment Pending,,,Client Referral,2,,10.0222249v3,10,,2,3,,12/28/2023,,,,284,,,,,3400,1.72,5882.4
14210092376,42894,7/18/2023,30,398.7,Distributor,Existing Business,,Payment Pending,,,Client Referral,3,High Res Preview,10.02175956v2,10,,2,3,,12/28/2023,,,,3,,,,,30,3.18,152.64
16716044042,42898,12/28/2023,500,3405,Distributor,Existing Business,,Payment Pending,Reorder Button,,Direct Traffic,2,,10.0289954v1,10,,2,4,,12/28/2023,,,,42,,,,,500,2.54,1310.64
16715818770,42899,12/28/2023,60,616.2,Distributor,Existing Business,,Closed and Won,,,Email Marketing,1,,10.02173144v2,10,,2,1,,12/28/2023,,,,5,,,,,60,2.56,184.32
16715939845,42900,12/28/2023,720,5112,Distributor,Existing Business,,Closed and Won,Reorder Button,,Client Referral,2,,10.02143748v3,10,,2,1,,12/28/2023,,,,60,,,,,720,1.79,1310.28
16716362648,42904,12/28/2023,30,569.7,Direct,New Business,,Closed and Won,Portal Order,,Event Longer Than 1 Year Ago,1,,10.02197847v1,10,,2,3,,12/28/2023,,,,3,,,,,30,3.18,152.64
16716299930,42908,12/28/2023,200,2546.04,Direct,Existing Business,,Closed and Won,Reorder Button,,Direct Traffic,5,,10.02102566v1,10,,2,3,,12/28/2023,,,,17,,,,,200,2.54,548.64
16718398300,42919,12/28/2023,240,1994.4,Wholesale,Existing Business,,Payment Pending,,,Pre-Hubspot Contact,2,,10.0262175v1,10,,2,1,,12/28/2023,,,,20,,,,,240,1.96,493.92
16496393345,42954,12/13/2023,65,766.55,Distributor,Existing Business,,Closed and Won,Intake 4.0 Logged In,,WT Strategic Partnerships,3,High Res Preview,10.02207377v2,10,,2,3,,12/28/2023,,,,6,,,,,65,2.85,239.4
16531814185,42345,12/15/2023,120,1327.2,Direct,New Business,,Closed and Won,3D Builder,,Intake,2,,932208676v1,93,120,120,10,45313,12/27/2023,Direct,newbusiness,16531814185,10,1.8,0,237.6,216,,,
16562313500,42402,12/17/2023,500,5585,Direct,New Business,,Closed and Won,Intake 4.0 Logged Out,,Organic Search,1,High Res Preview,10.02207952v1,10,,2,3,,12/27/2023,,,,21,,,,,250,2.43,641.52
16562313500,42402,12/17/2023,500,5585,Direct,New Business,,Closed and Won,Intake 4.0 Logged Out,,Organic Search,1,High Res Preview,10.02208254v1,10,,2,3,,12/27/2023,,,,21,,,,,250,2.43,641.52
16577589907,42453,12/18/2023,80,917.6,Distributor,New Business,,Closed and Won,,,Direct Traffic,2,Low ,10.02207776v1,10,,2,4,,12/27/2023,,,,7,,,,,80,2.83,271.68
16589963107,42529,12/19/2023,40,611.6,Distributor,Existing Business,,Payment Pending,,,SAGE,3,Low ,10.02207874v1,10,,2,4,,12/27/2023,,,,4,,,,,40,3.25,195
16607977335,42632,12/20/2023,60,818.4,Distributor,New Business,,Closed and Won,,,Email Marketing,1,High Res Preview,55.02208184v1,55,,114,4,,12/27/2023,,,,3,,,,,30,3.42,164.16
16607977335,42632,12/20/2023,60,818.4,Distributor,New Business,,Closed and Won,,,Email Marketing,1,High Res Preview,55.02208192v1,55,,114,4,,12/27/2023,,,,3,,,,,30,3.42,164.16
16609403663,42652,12/20/2023,120,1624.8,Direct,New Business,,Closed and Won,Intake 4.0 Logged Out,,Direct Traffic,1,High Res Preview,55.02208336v1,55,,114,4,,12/27/2023,,,,10,,,,,120,3,396
16687947652,42824,12/26/2023,120,905,Distributor,Existing Business,,Closed and Won,,,Direct Traffic,2,,10.02207679v1,10,,2,1,,12/27/2023,,,,10,,,,,120,2.23,294.36
16691547048,42834,12/26/2023,600,8010.34,Direct,New Business,,Closed and Won,3D Builder,,Organic Search,1,,10.02208663v1,10,,2,4,,12/27/2023,,,,10,,,,,120,2.83,373.56
16691547048,42834,12/26/2023,600,8010.34,Direct,New Business,,Closed and Won,3D Builder,,Organic Search,1,,10.02208614v1,10,,2,4,,12/27/2023,,,,10,,,,,120,2.83,373.56
16691547048,42834,12/26/2023,600,8010.34,Direct,New Business,,Closed and Won,3D Builder,,Organic Search,1,,10.02208677v1,10,,2,4,,12/27/2023,,,,10,,,,,120,2.83,373.56
16691547048,42834,12/26/2023,600,8010.34,Direct,New Business,,Closed and Won,3D Builder,,Organic Search,1,,10.02208679v1,10,,2,4,,12/27/2023,,,,10,,,,,120,2.83,373.56
16691547048,42834,12/26/2023,600,8010.34,Direct,New Business,,Closed and Won,3D Builder,,Organic Search,1,,10.02208615v1,10,,2,4,,12/27/2023,,,,10,,,,,120,2.83,373.56
16691581869,42835,12/26/2023,250,1745,Distributor,Existing Business,,Closed and Won,,,Client Referral,2,Low ,10.02208668v1,10,,2,3,,12/27/2023,,,,21,,,,,250,2.43,641.52
16699631978,42841,12/27/2023,150,2057.29,Direct,Existing Business,,Closed and Won,Reorder Button,,Organic Search,1,,10.02166395v3,10,,2,1,,12/27/2023,,,,13,,,,,150,1.96,329.28
16700704117,42842,12/27/2023,55,840.95,Distributor,Existing Business,,Payment Pending,Reorder Button,,Direct Traffic,3,,10.02140423v1,10,,2,1,,12/27/2023,,,,5,,,,,55,3.18,228.96
16701214475,42845,12/27/2023,120,1080,Distributor,Existing Business,,Payment Pending,,,Client Referral,1,,10.029026v1,10,,2,4,,12/27/2023,,,,10,,,,,120,2.83,373.56
16490693722,42846,12/13/2023,1500,10200,Distributor,Existing Business,,Payment Pending,,,Direct Traffic,3,Not Rated,10.02106961v5,10,,2,3,,12/27/2023,,,,63,,,,,750,2.01,1543.68
16490693722,42846,12/13/2023,1500,10200,Distributor,Existing Business,,Payment Pending,,,Direct Traffic,3,Not Rated,10.02106966v5,10,,2,3,,12/27/2023,,,,63,,,,,750,2.01,1543.68
16702746410,42852,12/27/2023,664,4794.08,Distributor,Existing Business,,Closed and Won,Reorder Button,,Direct Traffic,2,,10.0266508v2,10,,2,4,,12/27/2023,,,,56,,,,,664,2.28,1559.52
16703019329,42854,12/27/2023,200,1850,Distributor,Existing Business,,Closed and Won,,,Direct Traffic,1,,10.02206779v3,10,,2,1,,12/27/2023,,,,17,,,,,200,1.96,423.36
15910028072,42861,11/3/2023,240,2581.42,Distributor,Existing Business,,Closed and Won,,,Direct Traffic,1,Low ,15.02199847v2,15,,7,3,,12/27/2023,,,,20,,,,,240,3.53,889.56
16704676456,42862,12/27/2023,979,6706.15,Distributor,Existing Business,,Closed and Won,Reorder Button,,Direct Traffic,2,,10.0266469v4,10,,2,3,,12/27/2023,,,,82,,,,,979,2.01,2001.96
16704824464,42863,12/27/2023,408,3072.24,Distributor,Existing Business,,Closed and Won,Reorder Button,,Direct Traffic,2,,10.02125686v1,10,,2,1,,12/27/2023,,,,34,,,,,408,1.96,823.2
16705660325,42868,12/27/2023,240,2088,Distributor,Existing Business,,Payment Pending,Portal Order,,Direct Traffic,1,,10.02140533v1,10,,2,4,,12/27/2023,,,,10,,,,,120,2.83,373.56
16705660325,42868,12/27/2023,240,2088,Distributor,Existing Business,,Payment Pending,Portal Order,,Direct Traffic,1,,10.02185416v1,10,,2,4,,12/27/2023,,,,10,,,,,120,2.83,373.56
16288244280,42887,11/29/2023,210,1890,Distributor,Existing Business,,Payment Pending,,,Event Longer Than 1 Year Ago,2,Not Rated,10.02208481v2,10,,2,3,,12/27/2023,,,,18,,,,,210,2.54,579.12
16181225830,42219,11/22/2023,1000,4870,Distributor,Existing Business,,Production,,,Event Longer Than 1 Year Ago,2,High Res Preview,932203626v3,93,500,120,10,45314,12/26/2023,Distributor,existingbusiness,16181225830,42,1.31,0,675.96,655,,,
16181225830,42219,11/22/2023,1000,4870,Distributor,Existing Business,,Production,,,Event Longer Than 1 Year Ago,2,High Res Preview,932203627v2,93,500,120,10,45314,12/26/2023,Distributor,existingbusiness,16181225830,42,1.31,0,675.96,655,,,
16576508040,42439,12/18/2023,900,5995,Direct,Existing Business,,Payment Pending,,,Direct Traffic,3,Medium ,9102208353v1,910,500,25,5,45313,12/26/2023,Direct,existingbusiness,16576508040,42,0.76,90,482.16,470,,,
16647531339,42790,12/22/2023,150,1350,Distributor,Existing Business,,Closed and Won,Reorder Button,,Client Referral,2,,10.0252372v2,10,,2,3,,12/26/2023,,,,13,,,,,150,2.54,426.72
16671800751,42809,12/24/2023,40,549.6,Distributor,Existing Business,,Closed and Won,Portal Order,,Client Referral,1,,10.02114934v1,10,,2,3,,12/26/2023,,,,4,,,,,40,3.18,190.8
16688472900,42826,12/26/2023,160,1974.65,Direct,Existing Business,,Production,Reorder Button,,Direct Traffic,2,,932180251v2,93,100,120,10,45310,12/26/2023,Direct,existingbusiness,16688472900,9,1.8,0,216,180,,,
16688472900,42826,12/26/2023,160,1974.65,Direct,Existing Business,,Production,Reorder Button,,Direct Traffic,2,,932180251v2,93,60,120,10,45401,12/26/2023,Direct,existingbusiness,16688472900,5,1.8,0,129.6,108,,,
13280260166,42827,5/9/2023,60,953.62,Distributor,New Business,,Payment Pending,,,WT Strategic Partnerships,2,Medium ,10.02208418v1,10,,2,4,,12/26/2023,,,,3,,,,,30,3.25,156
13280260166,42827,5/9/2023,60,953.62,Distributor,New Business,,Payment Pending,,,WT Strategic Partnerships,2,Medium ,10.02208052v4,10,,2,4,,12/26/2023,,,,3,,,,,30,3.25,156
16691054238,42831,12/26/2023,120,1520.4,Direct,Existing Business,,Closed and Won,Portal Order,,Organic Search,1,,10.02150869v2,10,,2,3,,12/26/2023,,,,10,,,,,120,2.72,359.04
16475952737,42886,12/12/2023,120,1214.4,Distributor,Existing Business,,Payment Pending,Revision Request,,Email Marketing,1,,15.0236604v2,15,,7,3,,12/26/2023,,,,10,,,,,120,3.84,506.88
15910084693,42888,11/3/2023,250,2802.5,Direct,New Business,,Payment Pending,,,Organic Search,2,High Res Preview,10.02199584v2,10,,2,3,,12/26/2023,,,,21,,,,,250,2.43,641.52
16390016776,42803,12/6/2023,1800,8653.17,Distributor,Existing Business,,Payment Pending,,,Email Marketing,1,High Res Preview,55.02205948v1,55,,114,1,,12/23/2023,,,,84,,,,,1000,1.71,1744.2
16359013157,41962,12/4/2023,6000,61430,Distributor,Existing Business,,Payment Pending,,,SAGE,3,Low ,10.02205288v2,10,,2,1,,12/22/2023,,,,500,,,,,6000,1.56,9378.72
16359013157,41962,12/4/2023,6000,61430,Distributor,Existing Business,,Payment Pending,,,SAGE,3,Low ,10.02205289v2,10,,2,1,,12/22/2023,,,,500,,,,,6000,1.56,9378.72
16575215000,42423,12/18/2023,200,2526.54,Direct,Existing Business,,Closed and Won,Intake 4.0 Logged In,,Direct Traffic,2,Low ,10.02207575v1,10,,2,1,,12/22/2023,,,,17,,,,,200,1.96,423.36
16589948702,42523,12/19/2023,60,908.4,Distributor,Existing Business,,Closed and Won,,,Event Longer Than 1 Year Ago,1,Low ,55.02209227v1,55,,114,3,,12/22/2023,,,,3,,,,,30,3.31,158.88
16589948702,42523,12/19/2023,60,908.4,Distributor,Existing Business,,Closed and Won,,,Event Longer Than 1 Year Ago,1,Low ,55.02209228v1,55,,114,3,,12/22/2023,,,,3,,,,,30,3.31,158.88
16589570428,42524,12/19/2023,60,688.2,Distributor,Existing Business,,Closed and Won,,,Direct Traffic,1,Low ,10.02207813v1,10,,2,4,,12/22/2023,,,,5,,,,,60,2.83,203.76
16593514770,42567,12/19/2023,120,1520.4,Direct,Existing Business,,Closed and Won,Intake 4.0 Logged In,,Direct Traffic,1,Low ,10.02208053v3,10,,2,4,,12/22/2023,,,,10,,,,,120,2.83,373.56
16605012544,42613,12/20/2023,60,688.2,Distributor,Existing Business,,Payment Pending,,,Direct Traffic,2,Low ,10.02208072v1,10,,2,4,,12/22/2023,,,,5,,,,,60,2.83,203.76
16605641219,42619,12/20/2023,180,1485,Distributor,Existing Business,,Payment Pending,,,WT Outbound,2,High Res Preview,10.02208099v1,10,,2,4,,12/22/2023,,,,15,,,,,180,2.54,487.68
16610166686,42666,12/20/2023,4000,25631,Distributor,Existing Business,,Production,Reorder Button,,Client Referral,4,,46.02201091v1,46,,113,1,,12/22/2023,,,,334,,,,,4000,1.43,5748.6
16611330067,42669,12/20/2023,120,1621.85,Direct,New Business,,Closed and Won,3D Builder,,Direct Traffic,1,Not Rated,10.02208152v1,10,,2,4,,12/22/2023,,,,10,,,,,120,2.83,373.56
16611327657,42674,12/20/2023,200,2925.6,Direct,New Business,,Closed and Won,Intake 4.0 Logged Out,,Direct Traffic,1,Low ,10.02208248v1,10,,2,1,,12/22/2023,,,,17,,,,,200,1.96,423.36
16623712654,42722,12/21/2023,150,1237.5,Distributor,Existing Business,,Closed and Won,Reorder Button,,Client Referral,2,,10.02150209v1,10,,2,1,,12/22/2023,,,,13,,,,,150,1.96,329.28
16623506573,42733,12/21/2023,120,1080,Distributor,Existing Business,,Closed and Won,,,Direct Traffic,1,Low ,10.02134590v2,10,,2,3,,12/22/2023,,,,10,,,,,120,2.72,359.04
16626766855,42736,12/21/2023,80,797.6,Distributor,Existing Business,,Closed and Won,Reorder Button,,Direct Traffic,2,,10.02192156v1,10,,2,3,,12/22/2023,,,,7,,,,,80,2.85,273.6
16627024182,42741,12/21/2023,120,1944.65,Direct,New Business,,Closed and Won,3D Builder,,Intake,1,,10.02208463v2,10,,2,3,,12/22/2023,,,,5,,,,,60,2.85,205.2
16627024182,42741,12/21/2023,120,1944.65,Direct,New Business,,Closed and Won,3D Builder,,Intake,1,,10.02208383v2,10,,2,3,,12/22/2023,,,,5,,,,,60,2.85,205.2
16640995424,42761,12/22/2023,100,1147,Distributor,Existing Business,,Closed and Won,Reorder Button,,Direct Traffic,2,,10.02186619v1,10,,2,3,,12/22/2023,,,,9,,,,,100,2.85,342
16642769549,42762,12/22/2023,120,1152,Distributor,Existing Business,,Closed and Won,Reorder Button,,Direct Traffic,1,,55.02206413v1,55,,114,3,,12/22/2023,,,,10,,,,,120,2.85,376.2
16642825761,42764,12/22/2023,760,5475.8,Distributor,Existing Business,,Closed and Won,Portal Order,,Direct Traffic,2,,46.02208457v1,46,,113,1,,12/22/2023,,,,32,,,,,380,1.79,708.84
16642825761,42764,12/22/2023,760,5475.8,Distributor,Existing Business,,Closed and Won,Portal Order,,Direct Traffic,2,,10.02204405v1,10,,2,1,,12/22/2023,,,,32,,,,,380,1.96,776.16
16182847653,42773,11/22/2023,60,815.4,Distributor,Existing Business,,Closed and Won,,,Client Referral,2,Low ,10.02203636v1,10,,2,4,,12/22/2023,,,,3,,,,,30,3.25,156
16182847653,42773,11/22/2023,60,815.4,Distributor,Existing Business,,Closed and Won,,,Client Referral,2,Low ,10.02203634v1,10,,2,4,,12/22/2023,,,,3,,,,,30,3.25,156
16103783838,42776,11/17/2023,60,573,Distributor,Existing Business,,Closed and Won,Revision Request,,Client Referral,1,,12.02176387v2,12,,4,3,,12/22/2023,,,,5,,,,,60,2.6,187.2
16645434460,42779,12/22/2023,1200,7464,Distributor,Existing Business,,Closed and Won,Portal Order,,Direct Traffic,2,,10.02100715v1,10,,2,3,,12/22/2023,,,,100,,,,,1200,2.01,2436.12
16644316676,42781,12/22/2023,120,1327.2,Direct,New Business,,Closed and Won,,,Direct Traffic,1,Low ,932208562v2,93,120,120,10,45309,12/22/2023,Direct,newbusiness,16644316676,10,1.8,0,237.6,216,,,
13823727387,42788,6/22/2023,30,458.7,Distributor,Existing Business,,Payment Pending,,,Event Longer Than 1 Year Ago,4,High Res Preview,10.02172617v3,10,,2,3,,12/22/2023,,,,3,,,,,30,3.18,152.64
16494566918,42789,12/13/2023,85,922.2,Distributor,Existing Business,,Closed and Won,Intake 4.0 Logged In,,Email Marketing,2,Not Rated,10.02207371v1,10,,2,4,,12/22/2023,,,,8,,,,,85,2.83,305.64
16647788386,42795,12/22/2023,500,2435,Distributor,Existing Business,,Payment Pending,Reorder Button,,Client Referral,4,,932150034v3,93,500,120,10,45313,12/22/2023,Distributor,existingbusiness,16647788386,42,1.31,0,675.96,655,,,
16473692216,42881,12/12/2023,240,1920,Distributor,New Business,,Closed and Won,,,Event in the Past Year,2,Low ,10.02207046v1,10,,2,4,,12/22/2023,,,,10,,,,,120,2.83,373.56
