po_number,deal_id_x,order_created,total_deal_quantity,amount_in_company_currency,client_type_x,deal_type_x,special_order_type,deal_stage,automation_tools,revisions,deal_source_ca,number_of_associated_contacts,design_difficulty,SKU,chassis,total_intl_product_quantity,mfp_product_info,vendor_id,est_ship_date,submitted_to_prod,client_type_y,deal_type_y,deal_id_y,Total SKU DZ on PO,intl_unit_cost,fixed_intl_pkg_cost,total_intl_unit_cost_dont_use,total_intl_sku_cost,cost_per_sku,total_sku_cost
41103,15957203590,11/7/2023,120.0,1520.4,Direct,Existing Business,,Closed and Won,Portal Order,,Organic Search,1,,10.02125667v3,10.0,0.0,2.0,4.0,,2023-11-07,,,,10.0,,,0.0,0.0,2.83,373.56
41104,15957402169,11/7/2023,450.0,4436.59,Distributor,Existing Business,,Closed and Won,Reorder Button,,Event in the Past Year,2,,46.02150710v1,46.0,0.0,113.0,1.0,,2023-11-08,,,,39.0,,,0.0,0.0,1.79,932.4
41105,15671786937,10/17/2023,280.0,2326.8,Distributor,New Business,,Closed and Won,,,Event Longer Than 1 Year Ago,1,High Res Preview,10.02195007v1,10.0,0.0,2.0,3.0,,2023-11-08,,,,24.0,,,0.0,0.0,2.43,729.0
41106,15900237336,11/2/2023,30.0,774.49,Direct,New Business,,Closed and Won,Intake 4.0 Logged Out,,Organic Search,1,High Res Preview,48.02199698v1,48.0,0.0,115.0,3.0,,2023-11-07,,,,3.0,,,0.0,0.0,3.18,152.64
41107,15881819925,11/1/2023,150.0,1975.5,Direct,New Business,,Closed and Won,3D Builder,,Organic Search,1,,10.02198433v1,10.0,0.0,2.0,4.0,,2023-11-07,,,,13.0,,,0.0,0.0,2.83,509.4
41108,15814957169,10/27/2023,120.0,1080.0,Distributor,Existing Business,,Closed and Won,,,WT Outbound,3,Low ,10.02198107v2,10.0,0.0,2.0,1.0,,2023-11-07,,,,10.0,,,0.0,0.0,2.23,294.36
41109,15957731409,11/7/2023,65.0,590.05,Distributor,Existing Business,,Payment Pending,Reorder Button,,Client Referral,3,,17.02196943v2,17.0,0.0,9.0,4.0,,2023-11-07,,,,6.0,,,0.0,0.0,2.83,237.72
41110,14198302290,7/17/2023,200.0,1800.0,Distributor,Existing Business,,Closed and Won,,,WT Strategic Partnerships,3,Low ,10.02176028v1,10.0,0.0,2.0,4.0,,2023-11-08,,,,17.0,,,0.0,0.0,2.54,548.64
41111,15706906405,10/19/2023,120.0,1032.0,Distributor,New Business,,Closed and Won,,,SAGE,1,High Res Preview,55.02195709v1,55.0,0.0,114.0,4.0,,2023-11-07,,,,10.0,,,0.0,0.0,3.0,396.0
41112,15797966448,10/26/2023,150.0,2198.56,Direct,New Business,,Closed and Won,,,Email Marketing,1,Low ,55.02197788v2,55.0,0.0,114.0,1.0,,2023-11-07,,,,13.0,,,0.0,0.0,1.88,315.84
