po_number,deal_id_x,order_created,total_deal_quantity,amount_in_company_currency,client_type_x,deal_type_x,special_order_type,deal_stage,automation_tools,revisions,deal_source_ca,number_of_associated_contacts,design_difficulty,SKU,chassis,total_intl_product_quantity,mfp_product_info,vendor_id,est_ship_date,submitted_to_prod,client_type_y,deal_type_y,deal_id_y,Total SKU DZ on PO,intl_unit_cost,fixed_intl_pkg_cost,total_intl_unit_cost_dont_use,total_intl_sku_cost,cost_per_sku,total_sku_cost,gross_margin
24315,7820832266,2/4/2022,121.0,914.76,Distributor,New Business,,Closed and Won,,,,1,High Res Preview,10.0275829v1,10.0,0.0,2.0,4.0,,2022-02-04,,,,11.0,,,0.0,0.0,2.58,371.52,0.5938606847697757
24316,7810542864,2/3/2022,60.0,660.0,Distributor,Existing Business,,Closed and Won,,,Client Referral,2,Not Rated,10.0275762v1,10.0,0.0,2.0,4.0,,2022-02-04,,,,5.0,,,0.0,0.0,2.58,185.76,0.7185454545454546
24317,7810542873,2/3/2022,720.0,4644.0,Distributor,Existing Business,,Closed and Won,,,Client Referral,2,Low ,10.0275784v1,10.0,0.0,2.0,3.0,,2022-02-04,,,,60.0,,,0.0,0.0,1.91,1398.12,0.6989405684754523
24319,7752054568,1/28/2022,90.0,855.0,Distributor,New Business,,Closed and Won,,,Event in the Past Year,2,High Res Preview,10.0274572v1,10.0,0.0,2.0,4.0,,2022-02-04,,,,8.0,,,0.0,0.0,2.58,278.64,0.6741052631578948
24320,7802798895,2/2/2022,60.0,904.2,Direct,Existing Business,,Closed and Won,Intake 2.0 Edward,,,1,High Res Preview,10.0275862v1,10.0,0.0,2.0,4.0,,2022-02-04,,,,5.0,,,0.0,0.0,2.58,185.76,0.7945587259455873
24321,7822896991,2/4/2022,60.0,922.2,Direct,Existing Business,,Closed and Won,Portal Order,,,1,,10.0275862v1,10.0,0.0,2.0,4.0,,2022-02-04,,,,5.0,,,0.0,0.0,2.58,185.76,0.7985686402081978
24322,7755264268,1/28/2022,405.0,3312.87,Distributor,Existing Business,,Closed and Won,,,Pre-Hubspot Contact,3,Low ,10.0274826v1,10.0,0.0,2.0,4.0,,2022-02-04,,,,34.0,,,0.0,0.0,2.41,1012.2,0.6944643164386167
24324,7820901739,2/4/2022,60.0,660.0,Distributor,Existing Business,,Closed and Won,,,Client Referral,3,,10.0241447v1,10.0,0.0,2.0,3.0,,2022-02-07,,,,5.0,,,0.0,0.0,3.66,263.52,0.6007272727272728
24325,7779222809,1/31/2022,91.0,1001.0,Distributor,Existing Business,,Closed and Won,New Project In Portal,,Pre-Hubspot Contact,2,Low ,10.0275514v1,10.0,0.0,2.0,3.0,,2022-02-05,,,,8.0,,,0.0,0.0,3.58,386.64,0.6137462537462538
24327,7659235466,1/21/2022,120.0,907.2,Distributor,Existing Business,,Closed and Won,,,,2,Not Rated,10.0273262v1,10.0,0.0,2.0,3.0,,2022-02-08,,,,10.0,,,0.0,0.0,2.58,340.56,0.6246031746031747
24328,7823569454,2/4/2022,97.0,1067.0,Distributor,Existing Business,,Closed and Won,Reorder Button,,Client Referral,2,,10.0271209v1,10.0,0.0,2.0,1.0,,2022-02-07,,,,9.0,,,0.0,0.0,2.56,307.2,0.7120899718837863
24329,7821315694,2/4/2022,160.0,1520.0,Distributor,Existing Business,,Closed and Won,,,Pre-Hubspot Contact,2,,10.0214986v1,10.0,0.0,2.0,3.0,,2022-02-08,,,,14.0,,,0.0,0.0,3.66,702.72,0.5376842105263158
24331,7824411408,2/4/2022,500.0,3415.0,Distributor,Existing Business,,Closed and Won,Reorder Button,,Client Referral,1,,10.0237170v1,10.0,0.0,2.0,4.0,,2022-02-07,,,,42.0,,,0.0,0.0,2.41,1243.56,0.6358535871156662
24332,7810444448,2/3/2022,120.0,907.2,Distributor,Existing Business,,Closed and Won,,,Client Referral,3,Not Rated,40.0275619v2,40.0,0.0,18.0,3.0,,2022-02-05,,,,10.0,,,0.0,0.0,2.66,351.12,0.6129629629629629
24333,6985456013,11/22/2021,480.0,3669.17,Distributor,Existing Business,,Closed and Won,,,,1,Not Rated,10.0261941v1,10.0,0.0,2.0,3.0,,2022-02-07,,,,40.0,,,0.0,0.0,2.41,1185.72,0.6768424466568733
24334,7633932119,1/19/2022,120.0,1416.0,Direct,Existing Business,,Closed and Won,Quote Request,,,3,,10.0232611v10,10.0,0.0,2.0,4.0,,2022-02-07,,,,10.0,,,0.0,0.0,2.58,340.56,0.7594915254237289
24335,7696974167,1/25/2022,240.0,2546.4,Direct,New Business,,Closed and Won,Intake 2.0 Edward,,Organic Search,2,High Res Preview,10.0274810v3,10.0,0.0,2.0,3.0,,2022-02-07,,,,20.0,,,0.0,0.0,2.41,607.32,0.7614985862393967
24336,7496131476,1/12/2022,105.0,1155.0,Distributor,Existing Business,,Closed and Won,,,Pre-Hubspot Contact,4,Not Rated,10.0271462v2,10.0,0.0,2.0,3.0,,2022-02-07,,,,9.0,,,0.0,0.0,3.58,429.6,0.6280519480519481
24337,7785596038,2/1/2022,120.0,1057.2,Wholesale,Existing Business,,Closed and Won,,,,2,Low ,10.0275624v1,10.0,0.0,2.0,3.0,,2022-02-07,,,,10.0,,,0.0,0.0,2.58,340.56,0.6778660612939842
24338,7799138172,2/2/2022,120.0,1446.0,Direct,New Business,,Closed and Won,Intake 2.0 Edward,,,1,Low ,40.0275966v1,40.0,0.0,18.0,3.0,,2022-02-07,,,,10.0,,,0.0,0.0,2.66,351.12,0.7571784232365146
24339,7791220357,2/1/2022,60.0,998.28,Direct,Existing Business,,Closed and Won,,,,2,,10.0258079v4,10.0,0.0,2.0,3.0,,2022-02-07,,,,5.0,,,0.0,0.0,3.66,263.52,0.7360259646592139
24340,7736279856,1/26/2022,60.0,660.0,Distributor,Existing Business,,Closed and Won,,,Pre-Hubspot Contact,2,Low ,10.0274231v1,10.0,0.0,2.0,3.0,,2022-02-07,,,,5.0,,,0.0,0.0,3.66,263.52,0.6007272727272728
24341,7701006979,1/26/2022,220.0,1883.2,Distributor,Existing Business,,Closed and Won,,,Client Referral,3,High ,10.0274102v2,10.0,0.0,2.0,3.0,,2022-02-07,,,,19.0,,,0.0,0.0,2.41,578.4,0.6928632115548005
24343,7819011639,2/4/2022,120.0,1260.0,Distributor,Existing Business,,Closed and Won,,,Email Marketing,2,Not Rated,10.0275900v1,10.0,0.0,2.0,1.0,,2022-02-09,,,,10.0,,,0.0,0.0,2.56,368.64,0.7074285714285714
24344,7845508193,2/7/2022,60.0,904.2,Direct,Existing Business,,Closed and Won,Reorder Button,,,2,,10.0251616v2,10.0,0.0,2.0,4.0,,2022-02-07,,,,5.0,,,0.0,0.0,2.58,185.76,0.7945587259455873
24345,7743549271,1/27/2022,200.0,1900.0,Distributor,Existing Business,,Closed and Won,,,,1,Not Rated,10.0239801v1,10.0,0.0,2.0,1.0,,2022-02-09,,,,18.0,,,0.0,0.0,2.56,614.4,0.6766315789473684
24346,7310029830,12/21/2021,150.0,1134.0,Distributor,Existing Business,,Closed and Won,,,Pre-Hubspot Contact,3,Not Rated,17.0269742v2,17.0,0.0,9.0,3.0,,2022-02-07,,,,13.0,,,0.0,0.0,2.41,404.88,0.642962962962963
24347,7811128747,2/3/2022,360.0,2545.2,Distributor,Existing Business,,Closed and Won,,,Client Referral,3,High Res Preview,10.0276057v1,10.0,0.0,2.0,3.0,,2022-02-07,,,,30.0,,,0.0,0.0,2.41,896.52,0.6477604903347477
24348,7808988682,2/3/2022,120.0,1378.83,Distributor,Existing Business,,Closed and Won,,,Pre-Hubspot Contact,2,Not Rated,10.0275838v1,10.0,0.0,2.0,1.0,,2022-02-07,,,,10.0,,,0.0,0.0,2.56,368.64,0.7326428928874481
24349,7846235472,2/7/2022,250.0,1735.0,Distributor,Existing Business,,Closed and Won,Reorder Button,,Pre-Hubspot Contact,3,,10.0237671v1,10.0,0.0,2.0,1.0,,2022-02-07,,,,21.0,,,0.0,0.0,1.96,517.44,0.7017636887608069
24350,6954762808,11/18/2021,120.0,1446.0,Direct,New Business,,Closed and Won,Knitted Mockup Tool,,,1,Knitted Mockup Tool,10.0275615v1,10.0,0.0,2.0,3.0,,2022-02-07,,,,10.0,,,0.0,0.0,2.58,340.56,0.7644813278008299
24351,7846579104,2/7/2022,500.0,3985.0,Distributor,Existing Business,,Closed and Won,Reorder Button,,,1,,10.023337v7,10.0,0.0,2.0,3.0,,2022-02-07,,,,44.0,,,0.0,0.0,2.58,1486.08,0.627081555834379
24352,7789635404,2/1/2022,150.0,1807.5,Direct,Existing Business,,Closed and Won,Reorder Button,,,2,,10.0249931v4,10.0,0.0,2.0,3.0,,2022-02-07,,,,13.0,,,0.0,0.0,2.41,404.88,0.7759999999999999
24353,7808650079,2/3/2022,240.0,2760.0,Direct,New Business,,Closed and Won,Intake 2.0 Edward,,,2,Low ,10.0275983v1,10.0,0.0,2.0,3.0,,2022-02-07,,,,20.0,,,0.0,0.0,2.58,681.12,0.7532173913043478
24354,7656441177,1/21/2022,500.0,3540.0,Distributor,New Business,,Closed and Won,,,,2,High Res Preview,10.0273321v1,10.0,0.0,2.0,3.0,,2022-02-08,,,,42.0,,,0.0,0.0,2.41,1243.56,0.6487118644067796
24355,7820259937,2/4/2022,240.0,1814.4,Distributor,Existing Business,,Closed and Won,,,Event in the Past Year,5,Low ,10.0275897v1,10.0,0.0,2.0,3.0,,2022-02-08,,,,20.0,,,0.0,0.0,2.58,691.6800000000001,0.6187830687830688
24356,7787054371,2/1/2022,120.0,1778.4,Direct,Existing Business,,Closed and Won,Reorder Button,,,1,,10.0256275v4,10.0,0.0,2.0,1.0,,2022-02-07,,,,10.0,,,0.0,0.0,2.56,368.64,0.7927125506072875
24357,7846695760,2/7/2022,459.0,3817.17,Distributor,Existing Business,,Closed and Won,Reorder Button,,,2,,10.0269578v1,10.0,0.0,2.0,3.0,,2022-02-08,,,,39.0,,,0.0,0.0,2.41,1214.64,0.6817956758541013
24358,7821618233,2/4/2022,60.0,660.0,Distributor,Existing Business,,Closed and Won,,,Client Referral,2,Not Rated,10.0275961v2,10.0,0.0,2.0,3.0,,2022-02-07,,,,5.0,,,0.0,0.0,3.66,263.52,0.6007272727272728
24361,7844551060,2/7/2022,75.0,825.0,Distributor,Existing Business,,Closed and Won,,,Client Referral,2,High Res Preview,10.0276162v1,10.0,0.0,2.0,3.0,,2022-02-07,,,,7.0,,,0.0,0.0,3.66,351.36,0.5741090909090909
24362,7775562284,1/31/2022,1136.0,7611.2,Distributor,New Business,,Closed and Won,,,,2,High Res Preview,40.0274630v2,40.0,0.0,18.0,1.0,,2022-02-08,,,,95.0,,,0.0,0.0,1.79,2062.08,0.7290729451334875
24363,7848176926,2/7/2022,180.0,2335.2,Direct,Existing Business,,Closed and Won,Reorder Button,,,2,,10.0244274v3,10.0,0.0,2.0,3.0,,2022-02-09,,,,15.0,,,0.0,0.0,3.66,604.0799999999999,0.7413155190133608
24364,7848140356,2/7/2022,1600.0,9344.0,Distributor,Existing Business,,Closed and Won,Reorder Button,,Pre-Hubspot Contact,3,,10.029177v1,10.0,0.0,2.0,4.0,,2022-02-08,,,,134.0,,,0.0,0.0,1.91,3094.2,0.6688570205479453
24365,7789765505,2/1/2022,520.0,3931.2,Distributor,Existing Business,,Closed and Won,,,,1,Not Rated,10.0239801v1,10.0,0.0,2.0,1.0,,2022-02-09,,,,44.0,,,0.0,0.0,2.23,1141.08,0.7097374847374848
24366,7845656655,2/7/2022,120.0,907.2,Distributor,Existing Business,,Closed and Won,,,,1,,10.0210945v3,10.0,0.0,2.0,1.0,,2022-02-09,,,,10.0,,,0.0,0.0,2.23,294.36,0.6755291005291005
24367,7806303297,2/3/2022,550.0,3825.25,Direct,Existing Business,,Closed and Won,,,Referrals,1,Not Rated,10.0276258v1,10.0,0.0,2.0,3.0,,2022-02-09,,,,46.0,,,0.0,0.0,2.16,1218.24,0.681526697601464
24368,7848068724,2/7/2022,120.0,1122.26,Distributor,Existing Business,,Closed and Won,,,,1,,10.0257388v5,10.0,0.0,2.0,3.0,,2022-02-08,,,,10.0,,,0.0,0.0,2.58,340.56,0.6965409085238715
24369,7532224829,1/14/2022,360.0,2984.4,Distributor,Existing Business,,Closed and Won,,,,1,Low ,12.0376304v1,12.0,0.0,4.0,1.0,,2022-02-08,,,,30.0,,,0.0,0.0,2.1,769.68,0.7420989143546443
24370,7071107633,12/2/2021,122.0,970.32,Distributor,Existing Business,,Closed and Won,,,Event in the Past Year,2,Not Rated,10.0268088v2,10.0,0.0,2.0,3.0,,2022-02-08,,,,11.0,,,0.0,0.0,2.58,371.52,0.617116002968093
24371,7811953310,2/3/2022,120.0,1598.73,Direct,New Business,,Closed and Won,Quote Request,,,2,Not Rated,10.0269567v1,10.0,0.0,2.0,1.0,,2022-02-09,,,,10.0,,,0.0,0.0,2.23,294.36,0.8158788538402356
24372,7827611991,2/5/2022,800.0,6049.79,Distributor,New Business,,Closed and Won,,,,2,Not Rated,10.0276201v1,10.0,0.0,2.0,3.0,,2022-02-08,,,,67.0,,,0.0,0.0,1.91,1558.56,0.7423778346025234
24373,7789374552,2/1/2022,60.0,588.0,Distributor,New Business,,Closed and Won,,,,2,High Res Preview,10.0276491v1,10.0,0.0,2.0,4.0,,2022-02-14,,,,5.0,,,0.0,0.0,2.58,185.76,0.6840816326530612
24374,7846921842,2/7/2022,155.0,1326.8,Distributor,Existing Business,,Closed and Won,,,Client Referral,2,Not Rated,10.0276470v1,10.0,0.0,2.0,3.0,,2022-02-08,,,,13.0,,,0.0,0.0,2.41,404.88,0.6948447392221887
24375,7808520788,2/3/2022,120.0,1446.0,Direct,Existing Business,,Closed and Won,,,,2,,10.0275818v2,10.0,0.0,2.0,3.0,,2022-02-08,,,,10.0,,,0.0,0.0,2.58,340.56,0.7644813278008299
24376,7496474635,1/12/2022,360.0,2595.32,Distributor,Existing Business,,Closed and Won,,,Pre-Hubspot Contact,4,Low ,10.0275783v4,10.0,0.0,2.0,1.0,,2022-02-08,,,,30.0,,,0.0,0.0,1.96,729.12,0.7190635451505017
24377,7854521940,2/8/2022,120.0,1416.0,Direct,Existing Business,,Closed and Won,Reorder Button,,,1,,10.0228854v1,10.0,0.0,2.0,3.0,,2022-02-08,,,,10.0,,,0.0,0.0,2.58,340.56,0.7594915254237289
24378,7799607189,2/2/2022,120.0,1100.4,Distributor,Existing Business,,Closed and Won,,,Client Referral,3,Low ,11.0275809v1,11.0,0.0,3.0,1.0,,2022-02-08,,,,10.0,,,0.0,0.0,3.0,396.0,0.6401308615049074
24379,7819335587,2/4/2022,150.0,1284.0,Distributor,Existing Business,,Closed and Won,,,,1,,10.029088v1,10.0,0.0,2.0,3.0,,2022-02-08,,,,13.0,,,0.0,0.0,2.41,404.88,0.6846728971962617
24380,7856812131,2/8/2022,120.0,1027.2,Distributor,Existing Business,,Closed and Won,Reorder Button,,Pre-Hubspot Contact,3,,10.029177v1,10.0,0.0,2.0,3.0,,2022-02-08,,,,10.0,,,0.0,0.0,2.58,340.56,0.6684579439252337
24381,7656840609,1/21/2022,240.0,1725.6,Distributor,Existing Business,,Closed and Won,,,,4,Low ,10.0275844v1,10.0,0.0,2.0,1.0,,2022-02-08,,,,20.0,,,0.0,0.0,1.96,493.92,0.7137691237830319
24382,7846719650,2/7/2022,120.0,879.6,Distributor,Existing Business,,Closed and Won,,,Event in the Past Year,5,,46.0276195v1,46.0,0.0,113.0,1.0,,2022-02-08,,,,10.0,,,0.0,0.0,2.23,294.36,0.6653478854024557
24383,7798127937,2/2/2022,60.0,772.46,Distributor,Existing Business,,Closed and Won,,,Email Marketing,4,High Res Preview,10.0275906v2,10.0,0.0,2.0,1.0,,2022-02-09,,,,5.0,,,0.0,0.0,2.56,184.32,0.7613857028195635
24384,7818179461,2/4/2022,100.0,1100.0,Distributor,Existing Business,,Closed and Won,Reorder Button,,Client Referral,3,,40.0222921v3,40.0,0.0,18.0,3.0,,2022-02-09,,,,9.0,,,0.0,0.0,3.66,439.2,0.6007272727272727
24385,7250269978,12/14/2021,120.0,1057.2,Distributor,Existing Business,,Closed and Won,Template Download,,,1,High Res Preview,10.0269269v1,10.0,0.0,2.0,1.0,,2022-02-09,,,,10.0,,,0.0,0.0,2.23,294.36,0.7215664018161181
24386,7848464518,2/7/2022,140.0,1233.4,Distributor,Existing Business,,Closed and Won,,,Pre-Hubspot Contact,2,Not Rated,10.0265192v1,10.0,0.0,2.0,3.0,,2022-02-09,,,,12.0,,,0.0,0.0,2.41,375.96,0.695184044105724
24388,7810426783,2/3/2022,60.0,872.67,Direct,New Business,,Closed and Won,Intake 2.0 Edward,,Offline Sources,2,,12.0276240v1,12.0,0.0,4.0,1.0,,2022-02-10,,,,5.0,,,0.0,0.0,2.1,151.2,0.8267386297225756
24389,7848403836,2/7/2022,120.0,937.2,Distributor,Existing Business,,Closed and Won,,,Client Referral,3,,10.0275935v1,10.0,0.0,2.0,1.0,,2022-02-09,,,,10.0,,,0.0,0.0,2.23,294.36,0.6859154929577465
24390,7844652357,2/7/2022,200.0,1090.0,Distributor,Existing Business,,Closed and Won,,,Pre-Hubspot Contact,3,Not Rated,12.0276187v1,12.0,0.0,4.0,3.0,,2022-02-09,,,,17.0,,,0.0,0.0,2.16,466.56,0.5719633027522937
24391,7535745090,1/14/2022,120.0,1446.0,Direct,Existing Business,,Closed and Won,Intake 2.0 Edward,,,2,Medium ,10.0272085v3,10.0,0.0,2.0,3.0,,2022-02-08,,,,10.0,,,0.0,0.0,2.58,340.56,0.7644813278008299
24392,7846239062,2/7/2022,120.0,937.2,Wholesale,Existing Business,,Closed and Won,Intake 2.0 Edward,,,1,High Res Preview,40.0276658v2,40.0,0.0,18.0,1.0,,2022-02-08,,,,10.0,,,0.0,0.0,2.23,294.36,0.6859154929577465
24393,7848309839,2/7/2022,1200.0,7008.0,Distributor,Existing Business,,Closed and Won,,,Client Referral,3,,10.0269845v3,10.0,0.0,2.0,3.0,,2022-02-09,,,,100.0,,,0.0,0.0,1.91,2314.92,0.6696746575342466
24394,7845587999,2/7/2022,120.0,1096.32,Distributor,Existing Business,,Closed and Won,,,Event in the Past Year,4,,10.0276160v1,10.0,0.0,2.0,3.0,,2022-02-14,,,,10.0,,,0.0,0.0,2.58,340.56,0.6893607705779334
24396,7848808032,2/7/2022,302.0,1987.16,Distributor,Existing Business,,Closed and Won,,,,2,Low ,10.0276826v1,10.0,0.0,2.0,1.0,,2022-02-09,,,,26.0,,,0.0,0.0,1.96,635.04,0.6804283500070453
24397,7837610384,2/6/2022,120.0,1027.2,Distributor,Existing Business,,Closed and Won,Knitted Mockup Tool,,,3,Knitted Mockup Tool,10.0276014v4,10.0,0.0,2.0,1.0,,2022-02-09,,,,10.0,,,0.0,0.0,2.23,294.36,0.7134345794392524
24398,7807003912,2/3/2022,300.0,2292.0,Distributor,Existing Business,,Closed and Won,,,Pre-Hubspot Contact,3,Low ,10.0276063v1,10.0,0.0,2.0,1.0,,2022-02-09,,,,25.0,,,0.0,0.0,1.96,611.52,0.733193717277487
24399,7858331648,2/8/2022,120.0,1027.2,Distributor,Existing Business,,Closed and Won,,,Client Referral,2,,17.0242644v2,17.0,0.0,9.0,1.0,,2022-02-09,,,,10.0,,,0.0,0.0,2.23,294.36,0.7134345794392524
24400,6231948090,9/16/2021,80.0,760.0,Distributor,Existing Business,,Closed and Won,,,Client Referral,2,High Res Preview,10.0250290v2,10.0,0.0,2.0,1.0,,2022-02-10,,,,7.0,,,0.0,0.0,2.56,245.76,0.6766315789473685
24401,7865434497,2/9/2022,70.0,893.26,Distributor,Existing Business,,Closed and Won,Reorder Button,,,3,,10.0267358v1,10.0,0.0,2.0,1.0,,2022-02-15,,,,6.0,,,0.0,0.0,2.56,215.04,0.7592638201643419
24402,7858380591,2/8/2022,285.0,2177.4,Distributor,Existing Business,,Closed and Won,,,Client Referral,2,Not Rated,10.0276888v1,10.0,0.0,2.0,1.0,,2022-02-09,,,,24.0,,,0.0,0.0,1.96,588.0,0.7299531551391568
24403,7865483186,2/9/2022,120.0,1057.2,Distributor,Existing Business,,Closed and Won,,,Client Referral,2,,40.0233641v1,40.0,0.0,18.0,3.0,,2022-02-10,,,,10.0,,,0.0,0.0,2.66,351.12,0.6678774120317821
24404,7866437961,2/9/2022,120.0,1748.4,Direct,Existing Business,,Closed and Won,Portal Order,,,1,,10.0238114v1,10.0,0.0,2.0,1.0,,2022-02-09,,,,10.0,,,0.0,0.0,2.56,368.64,0.789155799588195
24405,7865389209,2/9/2022,500.0,3210.0,Distributor,Existing Business,,Closed and Won,,,Pre-Hubspot Contact,3,,10.0268674v1,10.0,0.0,2.0,3.0,,2022-02-09,,,,42.0,,,0.0,0.0,2.41,1243.56,0.6125981308411215
24406,7799293862,2/2/2022,79.0,869.0,Distributor,Existing Business,,Closed and Won,,,Pre-Hubspot Contact,2,High Res Preview,10.0276684v1,10.0,0.0,2.0,4.0,,2022-02-09,,,,7.0,,,0.0,0.0,2.58,247.68,0.714982738780207
24407,7858364968,2/8/2022,255.0,1948.2,Distributor,Existing Business,,Closed and Won,,,Client Referral,2,Low ,10.0276973v1,10.0,0.0,2.0,1.0,,2022-02-09,,,,22.0,,,0.0,0.0,1.96,540.96,0.7223283030489682
24408,7858057333,2/8/2022,60.0,660.0,Distributor,Existing Business,,Closed and Won,,,Client Referral,2,High Res Preview,10.0228606v2,10.0,0.0,2.0,4.0,,2022-02-09,,,,5.0,,,0.0,0.0,2.58,185.76,0.7185454545454546
24409,7845384993,2/7/2022,360.0,2236.8,Distributor,Existing Business,,Closed and Won,,,Offline Sources,5,Low ,10.0276716v2,10.0,0.0,2.0,3.0,,2022-02-09,,,,30.0,,,0.0,0.0,3.66,1394.64,0.3765021459227468
24410,7846278057,2/7/2022,1200.0,9915.0,Direct,Existing Business,,Closed and Won,Quote Request,,,1,,10.0240489v4,10.0,0.0,2.0,1.0,,2022-02-09,,,,100.0,,,0.0,0.0,1.71,2072.52,0.7909712556732224
24411,7868117928,2/9/2022,120.0,1057.2,Distributor,Existing Business,,Closed and Won,Reorder Button,,,1,,10.0261481v1,10.0,0.0,2.0,1.0,,2022-02-09,,,,10.0,,,0.0,0.0,2.23,294.36,0.7215664018161181
24412,7846260661,2/7/2022,720.0,7049.7,Direct,New Business,,Closed and Won,Intake 2.0 Edward,,,1,Low ,10.0277155v1,10.0,0.0,2.0,3.0,,2022-02-09,,,,60.0,,,0.0,0.0,1.91,1398.12,0.8016766670922167
24413,7746841752,1/27/2022,3000.0,18130.0,Distributor,Existing Business,,Closed and Won,,,Client Referral,4,High ,10.0277058v1,10.0,0.0,2.0,3.0,,2022-02-09,,,,251.0,,,0.0,0.0,1.91,5798.76,0.6801566464423607
24414,7695682091,1/25/2022,150.0,1575.0,Distributor,Existing Business,,Closed and Won,,,Pre-Hubspot Contact,3,High Res Preview,10.0275339v1,10.0,0.0,2.0,3.0,,2022-02-09,,,,14.0,,,0.0,0.0,3.66,702.72,0.5538285714285714
24415,7866307880,2/9/2022,120.0,1069.2,Distributor,Existing Business,,Closed and Won,,,,2,,10.0239188v1,10.0,0.0,2.0,3.0,,2022-02-09,,,,10.0,,,0.0,0.0,2.58,340.56,0.6814814814814816
24416,7867480345,2/9/2022,64.0,704.0,Distributor,Existing Business,,Closed and Won,Reorder Button,,Pre-Hubspot Contact,2,,10.0258636v1,10.0,0.0,2.0,4.0,,2022-02-14,,,,6.0,,,0.0,0.0,2.58,216.72,0.6921590909090909
24417,7867070638,2/9/2022,100.0,1100.0,Distributor,Existing Business,,Closed and Won,,,Client Referral,2,,10.0260661v1,10.0,0.0,2.0,4.0,,2022-02-09,,,,9.0,,,0.0,0.0,2.58,309.6,0.7185454545454545
24418,7798108694,2/2/2022,150.0,1471.5,Distributor,New Business,,Closed and Won,,,Client Referral,1,Low ,15.0275466v3,15.0,0.0,7.0,3.0,,2022-02-10,,,,13.0,,,0.0,0.0,3.53,593.04,0.5969826707441387
24420,7493021264,1/12/2022,300.0,2445.6,Distributor,Existing Business,,Closed and Won,,,,3,High Res Preview,10.0377243v1,10.0,0.0,2.0,4.0,,2022-02-10,,,,25.0,,,0.0,0.0,2.58,793.08,0.675711481844946
24421,7698970931,1/25/2022,200.0,2100.0,Distributor,Existing Business,,Closed and Won,,,Email Marketing,2,Not Rated,40.0275945v1,40.0,0.0,18.0,1.0,,2022-02-10,,,,18.0,,,0.0,0.0,2.56,614.4,0.7074285714285714
24422,7821965600,2/4/2022,250.0,1910.0,Distributor,Existing Business,,Closed and Won,Reorder Button,,,2,,10.0276752v1,10.0,0.0,2.0,1.0,,2022-02-09,,,,21.0,,,0.0,0.0,1.96,517.44,0.729089005235602
24423,7818784599,2/4/2022,120.0,1260.0,Distributor,Existing Business,,Closed and Won,,,Email Marketing,2,,40.0275945v1,40.0,0.0,18.0,4.0,,2022-02-10,,,,10.0,,,0.0,0.0,2.75,396.0,0.6857142857142857
24424,7859451741,2/8/2022,60.0,588.0,Distributor,Existing Business,,Closed and Won,,,,2,High Res Preview,40.0277174v2,40.0,0.0,18.0,4.0,,2022-02-09,,,,5.0,,,0.0,0.0,2.75,198.0,0.6632653061224489
24425,7479948612,1/11/2022,60.0,648.0,Distributor,New Business,,Closed and Won,,,Offline Sources,2,Low ,11.0277257v1,11.0,0.0,3.0,4.0,,2022-02-09,,,,5.0,,,0.0,0.0,2.83,203.76,0.6855555555555556
24426,7756237401,1/28/2022,141.0,3068.69,Distributor,New Business,,Closed and Won,,,,1,Low ,46.0275492v2,46.0,0.0,113.0,1.0,,2022-02-14,,,,12.0,,,0.0,0.0,1.96,305.76,0.9003613919946297
24427,7635725458,1/19/2022,300.0,2247.0,Distributor,New Business,,Closed and Won,,,,1,Low ,17.0274902v1,17.0,0.0,9.0,3.0,,2022-02-14,,,,25.0,,,0.0,0.0,2.41,751.92,0.6653671562082777
24428,7744820530,1/27/2022,699.0,4494.0,Distributor,Existing Business,,Closed and Won,,,,3,High Res Preview,10.0274794v2,10.0,0.0,2.0,3.0,,2022-02-10,,,,59.0,,,0.0,0.0,2.16,1555.2,0.6539385847797063
24429,7635924549,1/19/2022,240.0,2448.0,Distributor,Existing Business,,Closed and Won,,,,1,High Res Preview,40.0272963v1,40.0,0.0,18.0,1.0,,2022-02-10,,,,20.0,,,0.0,0.0,2.56,737.28,0.6988235294117647
24430,7858122627,2/8/2022,800.0,5552.0,Distributor,Existing Business,,Closed and Won,,,Client Referral,3,Medium ,10.0277035v1,10.0,0.0,2.0,3.0,,2022-02-10,,,,68.0,,,0.0,0.0,2.41,2082.24,0.624956772334294
24431,7642405686,1/20/2022,500.0,3470.0,Distributor,Existing Business,,Closed and Won,,,Client Referral,5,High Res Preview,10.0273042v1,10.0,0.0,2.0,1.0,,2022-02-10,,,,42.0,,,0.0,0.0,1.96,1034.88,0.7017636887608069
24432,7865667472,2/9/2022,310.0,2244.4,Distributor,Existing Business,,Closed and Won,,,Client Referral,2,Low ,10.0277184v1,10.0,0.0,2.0,3.0,,2022-02-10,,,,26.0,,,0.0,0.0,2.41,780.84,0.6520941008732846
24433,7870153620,2/9/2022,120.0,1027.2,Distributor,Existing Business,,Closed and Won,Reorder Button,,Pre-Hubspot Contact,2,,10.0272140v1,10.0,0.0,2.0,4.0,,2022-02-10,,,,10.0,,,0.0,0.0,2.58,340.56,0.6684579439252337
24434,7864818512,2/9/2022,120.0,1416.0,Direct,New Business,,Closed and Won,Intake 2.0 Edward,,,2,High Res Preview,40.0277069v2,40.0,0.0,18.0,3.0,,2022-02-10,,,,10.0,,,0.0,0.0,2.66,351.12,0.7520338983050848
