po_number,deal_id_x,order_created,total_deal_quantity,amount_in_company_currency,client_type_x,deal_type_x,special_order_type,deal_stage,automation_tools,revisions,deal_source_ca,number_of_associated_contacts,design_difficulty,SKU,chassis,total_intl_product_quantity,mfp_product_info,vendor_id,est_ship_date,submitted_to_prod,client_type_y,deal_type_y,deal_id_y,Total SKU DZ on PO,intl_unit_cost,fixed_intl_pkg_cost,total_intl_unit_cost_dont_use,total_intl_sku_cost,cost_per_sku,total_sku_cost,gross_margin
31505,10845454413,11/7/2022,60.0,944.4,Direct,New Business,,Closed and Won,3D Builder,,Intake,1,High Res Preview,10.02125867v2,10.0,0.0,2.0,1.0,,2022-11-25,,,,5.0,,,0.0,0.0,2.56,184.32,0.804828462515883
31506,11000941355,11/18/2022,250.0,2691.33,Direct,New Business,,Closed and Won,3D Builder,,Intake,1,High Res Preview,10.02128314v4,10.0,0.0,2.0,3.0,,2022-11-28,,,,21.0,,,0.0,0.0,2.41,636.24,0.7635964374491423
31507,10809342729,11/4/2022,80.0,780.8,Distributor,Existing Business,,Closed and Won,,,ESP Central,2,Not Rated,10.02128529v1,10.0,0.0,2.0,1.0,,2022-11-27,,,,7.0,,,0.0,0.0,2.56,245.76,0.6852459016393443
31508,10886059161,11/10/2022,60.0,675.6,Distributor,Existing Business,,Closed and Won,,,Event in the Past Year,2,Low ,10.02129112v1,10.0,0.0,2.0,4.0,,2022-11-27,,,,5.0,,,0.0,0.0,2.58,185.76,0.7250444049733571
31509,10811483566,11/4/2022,275.0,2291.45,Distributor,New Business,,Closed and Won,,,Email Marketing,1,High Res Preview,10.02127173v1,10.0,0.0,2.0,3.0,,2022-11-28,,,,23.0,,,0.0,0.0,2.41,694.08,0.6971000894630038
31510,11050687272,11/22/2022,100.0,1189.0,Distributor,Existing Business,,Closed and Won,Intake 3.0,,Email Marketing,1,High Res Preview,55.02128868v1,55.0,0.0,114.0,1.0,,2022-11-28,,,,9.0,,,0.0,0.0,2.56,307.2,0.7416316232127839
31511,10858414177,11/8/2022,120.0,1484.4,Direct,Existing Business,,Closed and Won,Intake 3.0,,Email Marketing,1,Medium ,10.02126206v3,10.0,0.0,2.0,1.0,,2022-11-28,,,,10.0,,,0.0,0.0,2.23,294.36,0.8016976556184316
31512,11052020557,11/22/2022,81.0,932.31,Distributor,Existing Business,,Closed and Won,Reorder Button,,Organic Search,1,,10.02115292v1,10.0,0.0,2.0,1.0,,2022-11-28,,,,7.0,,,0.0,0.0,2.56,245.76,0.7363966920873958
31514,11086028889,11/25/2022,120.0,663.6,Distributor,Existing Business,,Closed and Won,,,Pre-Hubspot Contact,2,,10.0236144v1,10.0,0.0,2.0,3.0,,2022-11-29,,,,10.0,,,0.0,0.0,2.58,340.56,0.4867992766726944
31515,10785694506,11/2/2022,120.0,1454.4,Direct,New Business,,Closed and Won,,,Pre-Hubspot Contact,1,Low ,10.02125054v4,10.0,0.0,2.0,3.0,,2022-11-23,,,,10.0,,,0.0,0.0,2.58,340.56,0.7658415841584159
31516,11127421237,11/28/2022,528.0,3956.64,Wholesale,Existing Business,,Closed and Won,Portal Order,,Direct Traffic,1,,10.022333v2,10.0,0.0,2.0,3.0,,2022-11-28,,,,44.0,,,0.0,0.0,2.41,1359.24,0.656466092442072
31517,10333469544,9/27/2022,300.0,1659.0,Distributor,New Business,,Closed and Won,,,Event in the Past Year,2,High Res Preview,10.02117156v1,10.0,0.0,2.0,1.0,,2022-11-28,,,,25.0,,,0.0,0.0,1.96,611.52,0.6313924050632912
31518,11034635952,11/21/2022,60.0,854.4,Direct,Existing Business,,Closed and Won,Intake 3.0,,Direct Traffic,1,High Res Preview,10.02129053v1,10.0,0.0,2.0,1.0,,2022-11-28,,,,5.0,,,0.0,0.0,2.56,184.32,0.7842696629213483
31519,11029559113,11/21/2022,206.0,1808.68,Distributor,Existing Business,,Closed and Won,,,Pre-Hubspot Contact,3,High Res Preview,10.02128286v1,10.0,0.0,2.0,3.0,,2022-12-07,,,,18.0,,,0.0,0.0,2.41,549.48,0.6961983324855696
31520,11077468266,11/24/2022,250.0,1930.0,Distributor,Existing Business,,Closed and Won,3D Builder,,SAGE,1,High Res Preview,55.02129095v2,55.0,0.0,114.0,1.0,,2022-11-28,,,,21.0,,,0.0,0.0,1.96,517.44,0.7318963730569948
31521,10984866225,11/17/2022,122.0,979.66,Distributor,Existing Business,,Closed and Won,,,Email Marketing,1,Not Rated,10.02128492v3,10.0,0.0,2.0,1.0,,2022-11-28,,,,11.0,,,0.0,0.0,2.23,321.12,0.6722128085254068
31522,10985205648,11/17/2022,140.0,1313.2,Distributor,Existing Business,,Closed and Won,,,Client Referral,3,Not Rated,55.02127992v1,55.0,0.0,114.0,1.0,,2022-11-28,,,,12.0,,,0.0,0.0,1.96,305.76,0.7671641791044777
31523,11128907312,11/28/2022,60.0,944.4,Direct,Existing Business,,Closed and Won,,,Paid Search,1,,10.0265943v1,10.0,0.0,2.0,3.0,,2022-11-28,,,,5.0,,,0.0,0.0,3.66,263.52,0.7209656925031767
31524,11032544265,11/21/2022,60.0,1042.66,Direct,New Business,,Closed and Won,Intake 3.0,,Direct Traffic,1,High Res Preview,10.02128643v3,10.0,0.0,2.0,1.0,,2022-11-28,,,,5.0,,,0.0,0.0,2.56,184.32,0.8232213760957552
31525,11129046090,11/28/2022,120.0,963.6,Distributor,Existing Business,,Closed and Won,,,SAGE,1,High Res Preview,10.02129465v1,10.0,0.0,2.0,1.0,,2022-11-29,,,,10.0,,,0.0,0.0,2.23,294.36,0.6945205479452055
