po_number,deal_id_x,order_created,total_deal_quantity,amount_in_company_currency,client_type_x,deal_type_x,special_order_type,deal_stage,automation_tools,revisions,deal_source_ca,number_of_associated_contacts,design_difficulty,SKU,chassis,total_intl_product_quantity,mfp_product_info,vendor_id,est_ship_date,submitted_to_prod,client_type_y,deal_type_y,deal_id_y,Total SKU DZ on PO,intl_unit_cost,fixed_intl_pkg_cost,dont_use_total_intl_unit_cost,total_intl_sku_cost,cost_per_sku,total_sku_cost,gross_margin,month,year
37783,14084332159,7/12/2023,120.0,1212.0,Distributor,Existing Business,,Closed and Won,,,Client Referral,2,Low ,55.02175103v1,55.0,0.0,114.0,1.0,,2023-08-15,,,,10.0,,,0.0,0.0,2.23,294.36,0.7571287128712871,8,2023
37784,14084240727,7/12/2023,120.0,1212.0,Distributor,New Business,,Closed and Won,,,Client Referral,1,Low ,55.02175083v1,55.0,0.0,114.0,4.0,,2023-08-15,,,,10.0,,,0.0,0.0,3.0,432.0,0.6435643564356436,8,2023
37785,13914936854,6/29/2023,1475.0,10618.5,Distributor,Existing Business,,Closed and Won,,,Client Referral,2,Low ,10.02173548v2,10.0,0.0,2.0,1.0,,2023-07-18,,,,124.0,,,0.0,0.0,1.96,2987.04,0.7186947308941941,7,2023
37786,14089691051,7/12/2023,150.0,1399.5,Distributor,Existing Business,,Payment Pending,,,SAGE,2,,46.02108763v1,46.0,0.0,113.0,1.0,,2023-07-13,,,,13.0,,,0.0,0.0,1.96,329.28,0.7647159699892819,7,2023
37787,14058971758,7/11/2023,82.0,1728.2,Distributor,Existing Business,,Closed and Won,,,Client Referral,3,Medium ,10.02144471v2,10.0,0.0,2.0,4.0,,2023-07-13,,,,8.0,,,0.0,0.0,2.83,339.6,0.8034949658604328,7,2023
37788,13750746692,6/16/2023,120.0,1330.65,Direct,New Business,,Closed and Won,Intake 4.0 Logged Out,,Organic Search,1,,10.02173885v2,10.0,0.0,2.0,4.0,,2023-07-13,,,,10.0,,,0.0,0.0,2.71,357.72,0.7311689775673543,7,2023
37789,14088812160,7/12/2023,120.0,1609.83,Direct,Existing Business,,Closed and Won,,,Direct Traffic,1,Low ,10.02175147v1,10.0,0.0,2.0,4.0,,2023-07-13,,,,10.0,,,0.0,0.0,2.71,357.72,0.7777902014498425,7,2023
37790,14106073670,7/13/2023,480.0,3739.2,Distributor,Existing Business,,Closed and Won,Reorder Button,,Event Longer Than 1 Year Ago,3,,55.02112174v4,55.0,0.0,114.0,1.0,,2023-07-13,,,,40.0,,,0.0,0.0,1.96,964.32,0.7421052631578947,7,2023
37791,14011396263,7/7/2023,100.0,1022.0,Distributor,New Business,,Closed and Won,,,Email Marketing,1,Low ,10.02175056v1,10.0,0.0,2.0,3.0,,2023-07-14,,,,9.0,,,0.0,0.0,2.85,342.0,0.6653620352250489,7,2023
37792,14108615006,7/13/2023,100.0,1147.0,Distributor,Existing Business,,Closed and Won,,,Pre-Hubspot Contact,3,,10.02162933v2,10.0,0.0,2.0,1.0,,2023-07-13,,,,9.0,,,0.0,0.0,2.56,307.2,0.7321708805579773,7,2023
37793,14089711199,7/12/2023,60.0,726.0,Distributor,Existing Business,,Closed and Won,,,Pre-Hubspot Contact,2,Low ,55.02175151v1,55.0,0.0,114.0,4.0,,2023-07-13,,,,5.0,,,0.0,0.0,3.0,216.0,0.7024793388429752,7,2023
37794,14110850442,7/13/2023,500.0,5195.0,Direct,Existing Business,,Closed and Won,Reorder Button,,Organic Search,3,,10.02153658v1,10.0,0.0,2.0,3.0,,2023-07-13,,,,42.0,,,0.0,0.0,2.54,1310.64,0.7477112608277189,7,2023
37795,13638481507,6/8/2023,120.0,999.6,Distributor,Existing Business,,Closed and Won,,,Client Referral,2,High Res Preview,46.02169826v1,46.0,0.0,113.0,3.0,,2023-07-13,,,,10.0,,,0.0,0.0,2.72,359.04,0.6408163265306122,7,2023
37796,13683200060,6/12/2023,120.0,742.8,Distributor,New Business,,Closed and Won,,,WT Strategic Partnerships,3,High Res Preview,46.02172594v1,46.0,0.0,113.0,1.0,,2023-07-14,,,,10.0,,,0.0,0.0,2.23,294.36,0.6037156704361873,7,2023
37797,14111657841,7/13/2023,240.0,2750.4,Direct,Existing Business,,Closed and Won,Portal Order,,Email Marketing,1,,10.0241791v1,10.0,0.0,2.0,3.0,,2023-07-13,,,,20.0,,,0.0,0.0,2.54,640.08,0.7672774869109948,7,2023
37798,14045646404,7/10/2023,400.0,3420.0,Distributor,Existing Business,,Closed and Won,,,Pre-Hubspot Contact,3,Low ,10.02174796v2,10.0,0.0,2.0,1.0,,2023-07-17,,,,34.0,,,0.0,0.0,1.96,846.72,0.7524210526315789,7,2023
37799,13930994834,6/30/2023,242.0,2419.74,Distributor,Existing Business,,Closed and Won,,,Event in the Past Year,2,,55.02174160v1,55.0,0.0,114.0,4.0,,2023-07-13,,,,22.0,,,0.0,0.0,2.88,829.44,0.6572193706761883,7,2023
